start_time,end_time,text,emotion,sub-emotion,intensity
"00:18:02,000","00:18:04,000",As if the point is that you need to check the frog anyway.,happiness,optimism,moderate
"00:18:04,000","00:18:06,000","Okay, listen, I'm going because I am",neutral,neutral,neutral
"00:18:06,000","00:18:08,000",He evaporates. I sat with the mafia.,surprise,realization,mild
"00:18:08,000","00:18:10,000",I sat with the mafia.,surprise,realization,mild
"00:18:10,000","00:18:12,000",I sat with the two mafia.,surprise,realization,mild
"00:18:12,000","00:18:14,000","Nobody says anything, everyone has me",anger,annoyance,moderate
"00:18:14,000","00:18:16,000","in the ass and like a git, I'll go",anger,annoyance,moderate
"00:18:16,000","00:18:18,000",Simply home. And even with,neutral,neutral,neutral
"00:18:18,000","00:18:20,000","light satisfaction because you will lose a citizen,",neutral,neutral,neutral
"00:18:20,000","00:18:22,000",So if I have it so that it myself,neutral,neutral,neutral
"00:18:22,000","00:18:24,000","You wanted, you got into this game.",neutral,neutral,neutral
"00:18:26,000","00:18:28,000",I don't have,neutral,neutral,neutral
"00:18:28,000","00:18:30,000","I trust you one hundred percent too, so it is possible that what",neutral,neutral,neutral
"00:18:30,000","00:18:32,000",I tell you somehow you can use it somehow.,neutral,neutral,neutral
"00:18:32,000","00:18:34,000",Posti took me to an interview,neutral,neutral,neutral
"00:18:34,000","00:18:36,000",with Julita. In my opinion,neutral,neutral,neutral
"00:18:36,000","00:18:38,000",They are one hundred percent mafia.,disgust,disapproval,intense
"00:18:38,000","00:18:40,000","Today, Posti is trying to save himself",happiness,curiosity,mild
"00:18:40,000","00:18:42,000",butt. See how the campaign-reaction went. So me,surprise,confusion,moderate
"00:18:42,000","00:18:44,000",I told him something and he immediately ran.,surprise,surprise,moderate
"00:18:44,000","00:18:46,000",That's why in my opinion totally,neutral,neutral,neutral
"00:18:46,000","00:18:48,000","Posti is trying to whiten, but",disgust,disapproval,moderate
"00:18:48,000","00:18:50,000","In my opinion, he finished it unnecessarily now",disgust,disapproval,mild
"00:18:50,000","00:18:52,000",Julita. How was the conversation about,happiness,curiosity,mild
"00:18:52,000","00:18:54,000","The mafia did not know yet who was in the mafia,",surprise,confusion,moderate
"00:18:54,000","00:18:56,000",This is Julita yesterday no,neutral,neutral,neutral
"00:18:56,000","00:18:58,000",She defended Posti as today.,happiness,approval,mild
"00:18:58,000","00:19:00,000",And they haven't talked to me at all since yesterday.,sadness,sadness,mild
"00:19:00,000","00:19:02,000",Not once did I know that they did not talk to me.,surprise,confusion,mild
"00:19:02,000","00:19:04,000","Well, I caught today and he will get me the first what he did,",happiness,curiosity,moderate
"00:19:04,000","00:19:06,000",because I noticed that they were talking to each other and he would stand the first,happiness,curiosity,mild
"00:19:06,000","00:19:08,000","what he said, so you don't think you're",surprise,confusion,mild
"00:19:08,000","00:19:10,000",Here at the turnover of some mafia.,disgust,disapproval,moderate
"00:19:10,000","00:19:12,000",Everything you talk to anyone,neutral,neutral,neutral
"00:19:12,000","00:19:14,000","It doesn't matter, because",sadness,disappointment,mild
"00:19:14,000","00:19:16,000",The only thing that happened or two things,neutral,neutral,neutral
"00:19:16,000","00:19:18,000",It is like that is that Żabson,neutral,neutral,neutral
"00:19:18,000","00:19:20,000","he got a card and said here, he could bury",happiness,curiosity,mild
"00:19:20,000","00:19:22,000","He could tell the truth, we don't know that, it is only",happiness,curiosity,moderate
"00:19:22,000","00:19:24,000",a thing for a brief and throwing away,disgust,disapproval,mild
"00:19:24,000","00:19:26,000",Karol as if they are,neutral,neutral,neutral
"00:19:26,000","00:19:28,000",The only things you can think about.,neutral,neutral,neutral
"00:19:28,000","00:19:30,000","More things, for example, that Kasia",happiness,curiosity,mild
"00:19:30,000","00:19:32,000","She got a card, that's the only things",happiness,curiosity,mild
"00:19:32,000","00:19:34,000",which you can wonder.,happiness,curiosity,mild
"00:19:34,000","00:19:36,000","More things, for example, that Kasia",happiness,curiosity,mild
"00:19:36,000","00:19:38,000","She got a card, this is the only things you can think about.",happiness,curiosity,mild
"00:19:38,000","00:19:40,000","More things, for example, that Kasia",happiness,curiosity,mild
"00:19:40,000","00:19:42,000",She got a card and,happiness,curiosity,mild
"00:19:42,000","00:19:44,000",A person at home rather got a card.,happiness,curiosity,mild
"00:19:44,000","00:19:46,000",How do you know she got a card? Because she showed me.,surprise,realization,mild
"00:19:46,000","00:19:48,000","Well, this information did not bring me anything",sadness,disappointment,mild
"00:19:48,000","00:19:50,000",From her regarding the fact that she has this card.,neutral,neutral,neutral
"00:19:50,000","00:19:52,000",But you know what he has? I just don't remember what he has,surprise,confusion,moderate
"00:19:52,000","00:19:54,000",But I know he has. But you don't remember,surprise,confusion,moderate
"00:19:54,000","00:19:56,000","What did she show you? NO. First, I didn't want to say",fear,embarrassment,mild
"00:19:56,000","00:19:58,000","that I know about Kasia's card at all and the second thing,",fear,embarrassment,mild
"00:19:58,000","00:20:00,000",that I was authentically forgotten at all.,surprise,confusion,moderate
"00:20:00,000","00:20:05,000","What was the Kasia card. And if I have no explanation here, I just threw it out of my head.",surprise,confusion,moderate
"00:20:05,000","00:20:09,000","And when you look at the cards, you don't remember which one is?",surprise,confusion,moderate
"00:20:09,000","00:20:11,000",Don't you want to go and read again?,happiness,curiosity,mild
"00:20:11,000","00:20:14,000",You can honestly say that I swear that I'm not sure what she told me at all.,surprise,confusion,moderate
"00:20:14,000","00:20:16,000","But you know, Fausti, that you are a bit sinking now.",disgust,disapproval,mild
"00:20:16,000","00:20:18,000","But I swear, see.",neutral,neutral,neutral
"00:20:18,000","00:20:24,000",I was lying in the room and Faustin downstairs said something about me that I told her something,anger,annoyance,mild
"00:20:24,000","00:20:29,000",I started saying that I was probably in the mafia and Faustin came to me in the room and told me that way,surprise,confusion,moderate
"00:20:29,000","00:20:32,000","Faustina talks you, come to listen, come to listen.",happiness,curiosity,mild
"00:20:32,000","00:20:34,000",Did you tell me what card you have?,happiness,curiosity,moderate
"00:20:34,000","00:20:36,000","I even said that if you go to the room, I would show you.",neutral,neutral,neutral
"00:20:36,000","00:20:38,000","Hey, Faustina!",neutral,neutral,neutral
"00:20:38,000","00:20:40,000",Caught on a lie!,surprise,surprise,intense
"00:20:40,000","00:20:42,000","No, no, no.",neutral,neutral,neutral
"00:20:42,000","00:20:44,000","Faustina, whom I trusted, says the most,",sadness,disappointment,moderate
"00:20:44,000","00:20:46,000",I think Kasia is in the mafia,happiness,curiosity,moderate
"00:20:46,000","00:20:48,000",And he still says that I didn't want to show her the card.,anger,annoyance,moderate
"00:20:48,000","00:20:50,000",Because I think so.,neutral,neutral,neutral
"00:20:50,000","00:20:52,000",I think the kars are going today.,neutral,neutral,neutral
"00:20:52,000","00:20:53,000",I think so.,neutral,neutral,neutral
"00:20:53,000","00:20:55,000","Completely honest, I forgot about it",surprise,realization,mild
"00:20:55,000","00:20:57,000",About what this card was about.,surprise,confusion,mild
"00:20:57,000","00:20:59,000",And the rest considered it a lie.,sadness,disappointment,moderate
"00:20:59,000","00:21:01,000","Mega strange, it could be anything",surprise,confusion,moderate
"00:21:01,000","00:21:03,000","as if stuck, that they were pushed",surprise,confusion,moderate
"00:21:03,000","00:21:05,000",with people to just see,happiness,curiosity,mild
"00:21:05,000","00:21:07,000","that ... well -scheduled, charted",neutral,neutral,neutral
"00:21:07,000","00:21:09,000","to their disadvantage, no. It brings",,,
"00:21:09,000","00:21:11,000","that they have, they will cover",neutral,neutral,neutral
"00:21:11,000","00:21:13,000","An alliance, and we",happiness,curiosity,mild
"00:21:13,000","00:21:15,000",We think they don't have this alliance. Why,happiness,curiosity,moderate
"00:21:15,000","00:21:17,000",So do you talk about this opening here with everyone?,happiness,curiosity,moderate
"00:21:17,000","00:21:19,000","It's terribly stupid, right? Take care of",anger,annoyance,moderate
"00:21:19,000","00:21:21,000",yourself. Okay. Because I don't trust you either.,,,
"00:21:21,000","00:21:23,000",I just don't want to,neutral,neutral,neutral
"00:21:23,000","00:21:25,000","sleep here next night, no?",fear,nervousness,mild
"00:21:25,000","00:21:27,000",I try to trust you. Yeah?,neutral,neutral,neutral
"00:21:27,000","00:21:29,000",That in the first season too,neutral,neutral,neutral
"00:21:29,000","00:21:31,000",You pretended very much. And I now,,,
"00:21:31,000","00:21:33,000","I don't pretend. That's right, but I can't figure you out.",surprise,confusion,moderate
"00:21:33,000","00:21:35,000",And I don't know if you pretend to be,surprise,confusion,mild
"00:21:35,000","00:21:37,000","You have something, but I try to trust you really.",neutral,neutral,neutral
"00:21:37,000","00:21:39,000","You know, for example, that I am good,",neutral,neutral,neutral
"00:21:39,000","00:21:41,000",NO? And just somehow it is that ...,neutral,neutral,neutral
"00:21:41,000","00:21:43,000","That I saw a bed,",neutral,neutral,neutral
"00:21:43,000","00:21:45,000","you are crazy on the bed, damn,",happiness,amusement,mild
"00:21:45,000","00:21:47,000",After the mafia deliberations,neutral,neutral,neutral
"00:21:47,000","00:21:49,000","And I can say that good, well,",neutral,neutral,neutral
"00:21:49,000","00:21:51,000","You slept for sure, because you also went down",neutral,neutral,neutral
"00:21:51,000","00:21:53,000",After the mafia deliberations and you were like that,neutral,neutral,neutral
"00:21:53,000","00:21:55,000",But the truth is that,neutral,neutral,neutral
"00:21:55,000","00:21:57,000","Well, all this can be fed",neutral,neutral,neutral
"00:21:57,000","00:21:59,000","And you are also a good actress,",happiness,admiration,mild
"00:21:59,000","00:22:01,000","Because sometimes you do at home, damn, scenes, no?",happiness,amusement,mild
"00:22:01,000","00:22:03,000",I don't believe.,,,
"00:22:05,000","00:22:07,000","And what, do you already believe me? NO.",,,
"00:22:07,000","00:22:09,000",O.,neutral,neutral,neutral
"00:22:09,000","00:22:11,000",The guys also analyzed,neutral,neutral,neutral
"00:22:11,000","00:22:13,000",on the first day that you can simply,neutral,neutral,neutral
"00:22:13,000","00:22:15,000",dump a pipe because,neutral,neutral,neutral
"00:22:15,000","00:22:17,000",She has a cool bed supposedly.,neutral,neutral,neutral
"00:22:17,000","00:22:19,000",Did you leave your paw up?,happiness,curiosity,mild
"00:22:19,000","00:22:21,000",Are you watching and ...,happiness,curiosity,mild
"00:22:21,000","00:22:23,000",I won't give anything or not?,surprise,confusion,moderate
"00:22:23,000","00:22:25,000",And don't you have to give your paw up if,happiness,curiosity,mild
"00:22:25,000","00:22:27,000",Are you not skiping advertising? I remember.,happiness,curiosity,mild
"00:22:29,000","00:22:31,000",I have been a witness from the morning,neutral,neutral,neutral
"00:22:31,000","00:22:33,000","Games, a witness to play in Faustia",neutral,neutral,neutral
"00:22:33,000","00:22:35,000",i kasi,neutral,neutral,neutral
"00:22:35,000","00:22:37,000",And now we still had,neutral,neutral,neutral
"00:22:37,000","00:22:39,000",Another conversation with Faustia.,neutral,neutral,neutral
"00:22:39,000","00:22:41,000","I mean, the case is that yesterday, like",neutral,neutral,neutral
"00:22:41,000","00:22:43,000","They were suspicious of Posti, then then",neutral,neutral,neutral
"00:22:43,000","00:22:45,000",It was so that a lot of people said that in fact that,neutral,neutral,neutral
"00:22:45,000","00:22:47,000",Postii should fly out. Then there were mafia deliberations,neutral,neutral,neutral
"00:22:47,000","00:22:49,000",And after the mafia deliberations today from the morning,neutral,neutral,neutral
"00:22:49,000","00:22:51,000",Postie's defends very much. Because he,neutral,neutral,neutral
"00:22:51,000","00:22:53,000",Now he thinks you lied yesterday with pass,disgust,disapproval,moderate
"00:22:53,000","00:22:55,000",these three people and with the answer. Post,neutral,neutral,neutral
"00:22:55,000","00:22:57,000","He thinks so. Postii, with, for example, I know that",neutral,neutral,neutral
"00:22:57,000","00:22:59,000",The frog did not lie. Case was such that like me,neutral,neutral,neutral
"00:22:59,000","00:23:01,000",I talked to Kasia about who we think,neutral,neutral,neutral
"00:23:01,000","00:23:03,000","He is a suspect ... you only see, wait, because I, for example,",happiness,curiosity,mild
"00:23:03,000","00:23:05,000",I didn't see the fact where,surprise,confusion,mild
"00:23:05,000","00:23:07,000",Julita Posti protects.,neutral,neutral,neutral
"00:23:07,000","00:23:09,000","Or I wasn't there with these conversations,",neutral,neutral,neutral
"00:23:09,000","00:23:11,000","But ... yes, and another matter, Kasia is the same",neutral,neutral,neutral
"00:23:11,000","00:23:13,000",says. I know I'm right with one,happiness,pride,mild
"00:23:13,000","00:23:15,000",It is and I don't want to say what.,fear,nervousness,mild
"00:23:15,000","00:23:17,000","But how do we trust you, how do you don't want to tell us",happiness,curiosity,moderate
"00:23:17,000","00:23:19,000",with what thing you are right. Because I can't tell her.,fear,nervousness,moderate
"00:23:19,000","00:23:21,000",Because you just used a card.,neutral,neutral,neutral
"00:23:23,000","00:23:25,000","We know that Fausti used a card,",neutral,neutral,neutral
"00:23:25,000","00:23:27,000",But we can't be sure. In fact,surprise,confusion,moderate
"00:23:27,000","00:23:29,000","We don't know it, she just told us.",surprise,confusion,mild
"00:23:29,000","00:23:31,000",What is also like this now,neutral,neutral,neutral
"00:23:31,000","00:23:33,000","I will think deeper, somehow",happiness,curiosity,mild
"00:23:33,000","00:23:35,000","a smelly element in all this,",disgust,disgust,mild
"00:23:35,000","00:23:37,000",Because she couldn't have this card never.,surprise,confusion,moderate
"00:23:37,000","00:23:39,000",Somehow it all turned,sadness,disappointment,moderate
"00:23:39,000","00:23:41,000",against me. Frog not at all,sadness,disappointment,moderate
"00:23:41,000","00:23:43,000","he drove, as if he did not draw in a relationship that",surprise,confusion,mild
"00:23:43,000","00:23:45,000",I defended him here and that,neutral,neutral,neutral
"00:23:45,000","00:23:47,000",Not on his side. He interpreted it somehow,surprise,confusion,mild
"00:23:47,000","00:23:49,000",Strangely. I wanted to arouse here,happiness,curiosity,mild
"00:23:49,000","00:23:51,000","His trust, because he has this voice of the group.",happiness,admiration,mild
"00:23:51,000","00:23:53,000",Most of the group at home.,neutral,neutral,neutral
"00:23:53,000","00:23:55,000","Well, I don't think it came out somewhere like now",surprise,confusion,mild
"00:23:55,000","00:23:57,000",I look at what was happening. You are one,happiness,curiosity,moderate
"00:23:57,000","00:23:59,000",some most trusted people at the moment,happiness,admiration,mild
"00:23:59,000","00:24:01,000","simply. But listen, in my opinion we only have",neutral,neutral,neutral
"00:24:01,000","00:24:03,000","One dilemma. Kasia or Fausti, no?",surprise,confusion,moderate
"00:24:03,000","00:24:05,000",Somehow this fausti,neutral,neutral,neutral
"00:24:05,000","00:24:07,000",Today is so fast.,neutral,neutral,neutral
"00:24:07,000","00:24:09,000",He's just the whole day.,neutral,neutral,neutral
"00:24:09,000","00:24:11,000",He is just very broken.,sadness,sadness,moderate
"00:24:11,000","00:24:13,000","Plays such a victim, but a guest",disgust,disapproval,mild
"00:24:13,000","00:24:15,000",I am really a pity.,happiness,caring,mild
"00:24:15,000","00:24:17,000",Maybe we'll take him and let's break him in five people,anger,anger,intense
"00:24:17,000","00:24:19,000","and he f ***, let's do it to him",anger,anger,intense
"00:24:19,000","00:24:21,000","f *** and interrogations, old. But maybe, maybe.",anger,anger,intense
"00:24:21,000","00:24:23,000","Realistically. Fausti, come to us.",neutral,neutral,neutral
"00:24:23,000","00:24:25,000",We'll talk.,neutral,neutral,neutral
"00:24:25,000","00:24:27,000",Today you know well that you are either you or Kasia,fear,nervousness,moderate
"00:24:27,000","00:24:29,000","Today, no? To you ***, no? There are only two people.",fear,nervousness,moderate
"00:24:29,000","00:24:31,000","I know that you are trying to shoot it at all,",disgust,disapproval,moderate
"00:24:31,000","00:24:33,000",What will work for you the most.,happiness,curiosity,mild
"00:24:33,000","00:24:35,000",Who told you so much that he is trying to shoot it for you?,happiness,curiosity,moderate
"00:24:35,000","00:24:37,000","And listen, is it not true?",happiness,curiosity,mild
"00:24:37,000","00:24:39,000",I think the most important scenario is,neutral,neutral,neutral
"00:24:39,000","00:24:41,000",such that you are lying because I think you are more,disgust,disapproval,moderate
"00:24:41,000","00:24:43,000",In the mafia than Kasia. So why?,happiness,curiosity,moderate
"00:24:43,000","00:24:45,000","Just like that, I have no evidence,",surprise,realization,mild
"00:24:45,000","00:24:47,000","It's the first day, it is people.",neutral,neutral,neutral
"00:24:47,000","00:24:49,000","Hi, can you talk to you?",neutral,neutral,neutral
"00:24:49,000","00:24:51,000",What Kasia said,neutral,neutral,neutral
"00:24:51,000","00:24:53,000",And what Faustina said is the same.,surprise,realization,mild
"00:24:53,000","00:24:55,000",There is fifty percent that it is either,surprise,confusion,moderate
"00:24:55,000","00:24:57,000","Fausti or Kasia. You just have it, it is",surprise,confusion,moderate
"00:24:57,000","00:24:59,000",certain. Instead of shooting,neutral,neutral,neutral
"00:24:59,000","00:25:01,000","to Mysłów Fausti, f ***, because",anger,anger,intense
"00:25:01,000","00:25:03,000","We see it, but as if after *** I am",surprise,confusion,mild
"00:25:03,000","00:25:05,000",guess since we have here,neutral,neutral,neutral
"00:25:05,000","00:25:07,000",One in two chances that we will hit.,fear,nervousness,moderate
"00:25:07,000","00:25:09,000",Do you know what's going on? Will we last to vote?,fear,nervousness,moderate
"00:25:09,000","00:25:11,000",Just then,neutral,neutral,neutral
"00:25:11,000","00:25:13,000","Let's just shoot at Kasia,",anger,anger,intense
"00:25:13,000","00:25:15,000",Because if we think this is Faustina,surprise,confusion,mild
"00:25:15,000","00:25:17,000","And Kasia, what is the difference?",surprise,confusion,mild
"00:25:17,000","00:25:19,000",Just trust me just,neutral,neutral,neutral
"00:25:19,000","00:25:21,000",in this one and let's hope it is simply,happiness,optimism,mild
"00:25:21,000","00:25:23,000","We came across well, and this bald with k *** a",disgust,disapproval,moderate
"00:25:23,000","00:25:25,000",He did not deceive us. The conclusion of this conversation,happiness,relief,mild
"00:25:25,000","00:25:27,000",She was like all in seven people,neutral,neutral,neutral
"00:25:27,000","00:25:29,000",We agreed that we were voting for Kasia.,happiness,optimism,moderate
"00:25:29,000","00:25:31,000","I am quite reluctant, but I agreed that",neutral,neutral,neutral
"00:25:31,000","00:25:33,000","It may have some sense, although I pointed out that",surprise,realization,mild
"00:25:33,000","00:25:35,000","Well, we don't know who is in this mafia, but it is",happiness,curiosity,moderate
"00:25:35,000","00:25:37,000","some shot. I say, a frog, I will trust you",neutral,neutral,neutral
"00:25:37,000","00:25:39,000",Although I'm not sure if it's good,neutral,neutral,neutral
"00:25:39,000","00:25:41,000",decision. Thanks Morto.,happiness,gratitude,mild
"00:25:41,000","00:25:43,000",And as if here,neutral,neutral,neutral
"00:25:43,000","00:25:45,000",They ended these intrigues.,happiness,relief,mild
"00:25:45,000","00:25:47,000","We will stop your discussions and intrigues for a moment,",anger,annoyance,mild
"00:25:47,000","00:25:49,000",Because I invite you,neutral,neutral,neutral
"00:25:49,000","00:25:51,000",for the first task,neutral,neutral,neutral
"00:25:51,000","00:25:53,000",Today.,neutral,neutral,neutral
"00:25:53,000","00:25:55,000",You will stay,neutral,neutral,neutral
"00:25:55,000","00:25:57,000",divided into three groups today,neutral,neutral,neutral
"00:25:57,000","00:25:59,000",And each group will have two tasks to perform.,neutral,neutral,neutral
"00:25:59,000","00:26:01,000",You get for each task,neutral,neutral,neutral
"00:26:01,000","00:26:03,000",A thousand zlotys plus additionally,neutral,neutral,neutral
"00:26:03,000","00:26:05,000",nine thousand zlotys. Each group receives to Wspólnej,neutral,neutral,neutral
"00:26:05,000","00:26:07,000","Pool, of course, if he performs both two tasks.",neutral,neutral,neutral
"00:26:07,000","00:26:09,000",So today you can get as much as possible,happiness,optimism,mild
"00:26:09,000","00:26:11,000",nine thousand zlotys. First group,neutral,neutral,neutral
"00:26:11,000","00:26:13,000","This is the AGA group,",neutral,neutral,neutral
"00:26:13,000","00:26:15,000","Kasia, Żabson and chickens.",neutral,neutral,neutral
"00:26:15,000","00:26:17,000",Another group that,neutral,neutral,neutral
"00:26:17,000","00:26:19,000","Order, Blołek, Julita",neutral,neutral,neutral
"00:26:19,000","00:26:21,000",And Bartek. Great.,happiness,approval,mild
"00:26:21,000","00:26:23,000","This is such an interesting division, no, dozen,",happiness,curiosity,mild
"00:26:23,000","00:26:25,000","that is, Fausti and Postiro, who strongly",neutral,neutral,neutral
"00:26:25,000","00:26:27,000",They broadcast on each other and suddenly in one group with me.,surprise,surprise,mild
"00:26:27,000","00:26:29,000",I knew it was in my team,surprise,realization,mild
"00:26:29,000","00:26:31,000","Mafia, or posti, because I still think",happiness,curiosity,mild
"00:26:31,000","00:26:33,000",that he is in this mafia.,surprise,surprise,moderate
"00:27:01,000","00:27:03,000",But these are different,neutral,neutral,neutral
"00:27:03,000","00:27:05,000","Signs, the police will watch",neutral,neutral,neutral
"00:27:05,000","00:27:07,000",that certainly not my mother's recipes.,disgust,disapproval,mild
"00:27:07,000","00:27:09,000",You have an hour for that.,neutral,neutral,neutral
"00:27:09,000","00:27:11,000",And now start time.,neutral,neutral,neutral
"00:27:11,000","00:27:13,000",Each group got an envelope and they were there,neutral,neutral,neutral
"00:27:13,000","00:27:15,000",Two tasks. We had to delete,neutral,neutral,neutral
"00:27:15,000","00:27:17,000",Mafia marks.,neutral,neutral,neutral
"00:27:17,000","00:27:19,000",The market is taken over by the enemy.,fear,fear,intense
"00:27:19,000","00:27:21,000","Ok, the market taken over by the enemy. This market is on this page.",,,
"00:27:21,000","00:27:23,000","Okay, okay. And we still had a task",neutral,neutral,neutral
"00:27:23,000","00:27:25,000","to make a lunch of shave. We got two backpacks,",neutral,neutral,neutral
"00:27:25,000","00:27:27,000",in which there was food. Do,neutral,neutral,neutral
"00:27:27,000","00:27:29,000",I think the gorlic dish from given to you,neutral,neutral,neutral
"00:27:29,000","00:27:31,000",ingredients. So we have a backpack.,neutral,neutral,neutral
"00:27:31,000","00:27:33,000","Oh no, okay.",neutral,neutral,neutral
"00:27:33,000","00:27:35,000","You said you could cook, frog. I can too.",neutral,neutral,neutral
"00:27:35,000","00:27:37,000",You have to make dinner seriously.,neutral,neutral,neutral
"00:27:37,000","00:27:39,000",Fish!,surprise,surprise,mild
"00:27:39,000","00:27:41,000",Why do we have fish here?,surprise,confusion,mild
"00:27:41,000","00:27:43,000",We stick to someone on a hut.,neutral,neutral,neutral
"00:27:43,000","00:27:45,000",Here is a peasant on a motorcycle.,neutral,neutral,neutral
"00:27:45,000","00:27:47,000","Listen, do you live here somewhere nearby?",happiness,curiosity,mild
"00:27:47,000","00:27:49,000",What do you need?,happiness,curiosity,mild
"00:27:49,000","00:27:51,000",We need to cook something on your hut.,neutral,neutral,neutral
"00:27:51,000","00:27:53,000",We knew one boy and right away,neutral,neutral,neutral
"00:27:53,000","00:27:55,000",With them we began to enter the action.,happiness,excitement,mild
"00:27:55,000","00:27:57,000","Hey, dogs go, go because they will catch us.",fear,fear,moderate
"00:27:57,000","00:27:59,000",What? What is he talking about?,surprise,confusion,moderate
"00:27:59,000","00:28:01,000",Because the police. Where?,fear,fear,moderate
"00:28:01,000","00:28:03,000","Oh, okay, at the intersection.",happiness,relief,mild
"00:28:03,000","00:28:05,000",Everything is cool here.,neutral,neutral,neutral
"00:28:05,000","00:28:07,000",Here? See if he will go.,happiness,curiosity,mild
"00:28:07,000","00:28:09,000","SKIFRAJA, SKIFRAJA, SKIFRAJA.",neutral,neutral,neutral
"00:28:09,000","00:28:11,000",You can't show up because he went ... he went.,fear,nervousness,moderate
"00:28:11,000","00:28:13,000","Far? He went, he just drove.",neutral,neutral,neutral
"00:28:13,000","00:28:15,000","He drove, no. We did two tasks.",neutral,neutral,neutral
"00:28:15,000","00:28:17,000",One was making a tattoo with a citizen.,neutral,neutral,neutral
"00:28:17,000","00:28:19,000",In the sense of the inscription Citizen.,neutral,neutral,neutral
"00:28:19,000","00:28:21,000",And the second task is to hit,neutral,neutral,neutral
"00:28:21,000","00:28:23,000",In place. There you will find,neutral,neutral,neutral
"00:28:23,000","00:28:25,000",artistic vandalism.,neutral,neutral,neutral
"00:28:25,000","00:28:27,000",Or graffiti.,neutral,neutral,neutral
"00:28:27,000","00:28:29,000",We have coordinates here. You need to develop coordinates.,neutral,neutral,neutral
"00:28:29,000","00:28:31,000",The problem is that uncle,neutral,neutral,neutral
"00:28:31,000","00:28:33,000",He told us that no phone.,anger,annoyance,mild
"00:28:33,000","00:28:35,000","Listen, the most important rule. You can't",neutral,neutral,neutral
"00:28:35,000","00:28:37,000",Use your phones. And we found that,neutral,neutral,neutral
"00:28:37,000","00:28:39,000",We will approach a random gentleman who was sitting.,neutral,neutral,neutral
"00:28:39,000","00:28:41,000",But we can ask someone.,happiness,optimism,mild
"00:28:41,000","00:28:43,000",Miszać in Google Maps only coordinates so that we know the place.,neutral,neutral,neutral
"00:28:43,000","00:28:45,000",Can we do so?,happiness,curiosity,mild
"00:28:45,000","00:28:47,000","Oh, great. Thank you very much.",happiness,gratitude,moderate
"00:28:47,000","00:28:49,000",And the second problem was that these coordinates,anger,annoyance,mild
"00:28:49,000","00:28:51,000",were written in numbers,neutral,neutral,neutral
"00:28:51,000","00:28:53,000",Roman. Check at all first,neutral,neutral,neutral
"00:28:53,000","00:28:55,000",TEN CLXMMD,neutral,neutral,neutral
"00:28:55,000","00:28:57,000",Maybe. And we found,neutral,neutral,neutral
"00:28:57,000","00:28:59,000",This is a place. It is 14 minutes,neutral,neutral,neutral
"00:28:59,000","00:29:01,000","by car, and we have an hour, right? For execution.",neutral,neutral,neutral
"00:29:01,000","00:29:03,000",I am terribly afraid that these,fear,fear,moderate
"00:29:03,000","00:29:05,000",The coordinates we checked at all,neutral,neutral,neutral
"00:29:05,000","00:29:07,000",It is not where we should go.,sadness,disappointment,moderate
"00:29:07,000","00:29:09,000",So we rushed.,fear,fear,moderate
"00:29:09,000","00:29:11,000",Adam had checked where he was before,neutral,neutral,neutral
"00:29:11,000","00:29:13,000",The nearest tattoo salon. We still had a phone call,neutral,neutral,neutral
"00:29:13,000","00:29:15,000","Because uncle has not yet informed us,",neutral,neutral,neutral
"00:29:15,000","00:29:17,000","That we can't, so we've checked it yet.",neutral,neutral,neutral
"00:29:17,000","00:29:19,000",And we rushed to this salon.,fear,fear,moderate
"00:29:19,000","00:29:21,000","By discussing heavily, Adam",neutral,neutral,neutral
"00:29:21,000","00:29:23,000",He says hena is not a problem,neutral,neutral,neutral
"00:29:23,000","00:29:25,000",tattoo. I was sure it was,surprise,realization,mild
"00:29:25,000","00:29:27,000","Just make a marker, pen, henna.",neutral,neutral,neutral
"00:29:27,000","00:29:28,000",NO?,surprise,confusion,moderate
"00:29:28,000","00:29:30,000",Ciara is to be real. NO.,disgust,disapproval,moderate
"00:29:30,000","00:29:32,000",Co?,surprise,confusion,moderate
"00:29:32,000","00:29:33,000",Not.,neutral,neutral,neutral
"00:29:33,000","00:29:35,000",Better let's say who is doing the tattoo.,happiness,curiosity,mild
"00:29:35,000","00:29:37,000","Paper, stone, scissors.",neutral,neutral,neutral
"00:29:37,000","00:29:39,000","You are from Genza, so they were used to such",neutral,neutral,neutral
"00:29:39,000","00:29:41,000",Challenge. Still a tattoo,happiness,curiosity,mild
"00:29:41,000","00:29:43,000","Mafia, okay, but a citizen tattoo?",surprise,confusion,moderate
"00:29:43,000","00:29:45,000",Exactly. One of the typian.,neutral,neutral,neutral
"00:29:45,000","00:29:47,000",All right. I remembered that I didn't quite understand,surprise,confusion,moderate
"00:29:47,000","00:29:49,000",What is today's task.,happiness,curiosity,mild
"00:29:49,000","00:29:51,000",Fix the things that the mafia did,happiness,optimism,moderate
"00:29:51,000","00:29:53,000",in the city and will chase us,fear,fear,moderate
"00:29:53,000","00:29:55,000","Karol. When he catch you, he touches you, it",fear,fear,moderate
"00:29:55,000","00:29:57,000",We have a financial penalty. You need cards later.,,,
"00:29:57,000","00:29:59,000","Stop, line 1.",neutral,neutral,neutral
"00:30:00,000","00:30:08,000","So I interpreted it in such a way that we just have to sit on the bus line 1 and drive stops, because maybe at these stops something is located.",happiness,curiosity,mild
"00:30:08,000","00:30:12,000","I have a question, well, do you do something like that line 1?",happiness,curiosity,mild
