start_time,end_time,text,emotion,sub_emotion,intensity,emotion_encoded,sub_emotion_encoded,intensity_encoded
"01:12:28,000","01:12:30,000",And for the moment I feel that I am not prepared to do it.,fear,nervousness,moderate,2,21,1
"01:12:36,000","01:12:37,000","I am very with you,",happiness,caring,mild,3,6,0
"01:12:37,000","01:12:39,000","But I prefer to rest in your room, aunt.",happiness,caring,mild,3,6,0
"01:12:43,000","01:12:44,000","What do I do, aunt?",surprise,confusion,mild,6,7,0
"01:12:44,000","01:12:46,000","I like your flip flops, I'm going to stay.",happiness,approval,mild,3,4,0
"01:12:48,000","01:12:49,000",Is it coming?,happiness,curiosity,mild,3,8,0
"01:12:50,000","01:12:51,000",How beautiful!,happiness,admiration,moderate,3,0,1
"01:12:52,000","01:12:54,000","If you have to bring something from above, bring it.",neutral,neutral,mild,4,22,0
"01:12:55,000","01:12:56,000",It's tyrant.,disgust,disapproval,moderate,1,11,1
"01:12:58,000","01:13:01,000",So you are not here with the clothes are partying?,surprise,confusion,mild,6,7,0
"01:13:01,000","01:13:02,000","Already, now, pussy.",anger,annoyance,moderate,0,3,1
"01:13:02,000","01:13:03,000",I keep the amphibians to sleep.,neutral,neutral,mild,4,22,0
"01:13:05,000","01:13:06,000","""Tú Apagas is this?""",surprise,confusion,mild,6,7,0
"01:13:16,000","01:13:17,000","No, give me another.",happiness,desire,mild,3,9,0
"01:13:19,000","01:13:20,000",I want to sleep Chucho,happiness,desire,mild,3,9,0
"01:13:20,000","01:13:22,000","And it is, as now I take it with pleasure.",neutral,neutral,mild,4,22,0
"01:13:22,000","01:13:24,000","That's, I want to sleep Chucho.",happiness,desire,mild,3,9,0
"01:13:24,000","01:13:25,000",You'll see how now I take it with pleasure.,neutral,neutral,mild,4,22,0
"01:13:25,000","01:13:26,000","Well, okay.",neutral,neutral,mild,4,22,0
"01:13:30,000","01:13:32,000",Tonight I sleep with Julen.,neutral,neutral,mild,4,22,0
"01:13:32,000","01:13:33,000",I feel like it.,happiness,desire,mild,3,9,0
"01:13:33,000","01:13:35,000","I want to give him a hug, he too,",happiness,caring,mild,3,6,0
"01:13:35,000","01:13:37,000",But I don't think anything else happens.,neutral,neutral,mild,4,22,0
"01:13:50,000","01:13:52,000",I am not stone either.,surprise,realization,mild,6,25,0
"01:13:52,000","01:13:53,000",I see.,surprise,realization,mild,6,25,0
"01:13:59,000","01:14:00,000",What do you think?,happiness,curiosity,mild,3,8,0
"01:14:03,000","01:14:05,000",I like that you do that,happiness,approval,mild,3,4,0
"01:14:05,000","01:14:07,000","And I'm containing, you flip me.",surprise,confusion,mild,6,7,0
"01:14:11,000","01:14:12,000",What's the matter?,happiness,curiosity,mild,3,8,0
"01:14:13,000","01:14:14,000",What's the matter?,happiness,curiosity,mild,3,8,0
"01:14:14,000","01:14:15,000",What's the matter?,happiness,curiosity,mild,3,8,0
"01:14:15,000","01:14:16,000",What's the matter?,happiness,curiosity,mild,3,8,0
"01:14:16,000","01:14:17,000",What's the matter?,happiness,curiosity,mild,3,8,0
"01:14:48,000","01:14:49,000",What's the matter?,happiness,curiosity,mild,3,8,0
"01:15:00,000","01:15:01,000",Nothing else.,neutral,neutral,mild,4,22,0
"01:15:04,000","01:15:05,000",I'm going to bed.,neutral,neutral,mild,4,22,0
"01:15:05,000","01:15:06,000",Vale.,neutral,neutral,mild,4,22,0
"01:15:14,000","01:15:16,000",A rhyme for the last time.,neutral,neutral,mild,4,22,0
"01:15:17,000","01:15:18,000",So.,neutral,neutral,mild,4,22,0
"01:15:21,000","01:15:22,000",That?,surprise,confusion,mild,6,7,0
"01:15:22,000","01:15:24,000",That you are a danger.,disgust,disapproval,moderate,1,11,1
"01:15:26,000","01:15:27,000",I have stopped carrying with Monica.,surprise,realization,moderate,6,25,1
"01:15:27,000","01:15:29,000",I have come to pass the kiss barrier.,surprise,realization,moderate,6,25,1
"01:15:29,000","01:15:31,000","I liked it, I can't deny it.",happiness,desire,moderate,3,9,1
"01:15:37,000","01:15:41,000","After kissing her, everything has been complicated",surprise,confusion,moderate,6,7,1
"01:15:41,000","01:15:45,000",And I have continued thinking that Mariona is stronger than that kiss.,surprise,realization,moderate,6,25,1
"01:16:18,000","01:16:19,000",That?,surprise,confusion,mild,6,7,0
"01:16:29,000","01:16:32,000","I don't want to, I don't want to, I don't want this.",anger,annoyance,strong,0,3,2
"01:16:39,000","01:16:40,000",Of.,neutral,neutral,mild,4,22,0
"01:16:40,000","01:16:41,000",Adri.,neutral,neutral,mild,4,22,0
"01:16:42,000","01:16:44,000",I don't want to continue anymore.,anger,annoyance,strong,0,3,2
"01:16:44,000","01:16:45,000",Me too?,surprise,confusion,mild,6,7,0
"01:16:46,000","01:16:47,000",Can't.,anger,annoyance,moderate,0,3,1
"01:16:47,000","01:16:48,000",Because?,happiness,curiosity,mild,3,8,0
"01:16:48,000","01:16:50,000",Yesterday I kissed Monica.,neutral,neutral,mild,4,22,0
"01:16:50,000","01:16:52,000","Ok, what was born to you.",happiness,curiosity,mild,3,8,0
"01:16:52,000","01:16:56,000","Yes, but it was 15 or 20 seconds and they have already been enough for ...",surprise,realization,moderate,6,25,1
"01:16:57,000","01:17:00,000",To realize that I cannot advance here with Monica or anyone.,surprise,realization,strong,6,25,2
"01:17:00,000","01:17:02,000",And why did you take the step yesterday?,happiness,curiosity,mild,3,8,0
"01:17:02,000","01:17:05,000","Sometimes giving a kiss is going well for me,",neutral,neutral,mild,4,22,0
"01:17:05,000","01:17:07,000",But sometimes not.,neutral,neutral,mild,4,22,0
"01:17:07,000","01:17:12,000","Sometimes giving a kiss is going well to know if you flow more,",neutral,neutral,mild,4,22,0
"01:17:12,000","01:17:17,000","Well, it's like, host, okay, I continue with this girl and so on.",neutral,neutral,mild,4,22,0
"01:17:17,000","01:17:21,000","But it was to kiss him and start scratching and saying,",surprise,confusion,moderate,6,7,1
"01:17:21,000","01:17:25,000","Ok, I can't anymore.",anger,annoyance,strong,0,3,2
"01:17:28,000","01:17:30,000","What happens, Adri?",happiness,curiosity,mild,3,8,0
"01:17:31,000","01:17:33,000",I can't anymore.,anger,annoyance,strong,0,3,2
"01:17:34,000","01:17:37,000",I have realized that now I want more than I thought.,surprise,realization,strong,6,25,2
"01:17:37,000","01:17:39,000",She always tells me that ...,neutral,neutral,mild,4,22,0
"01:17:41,000","01:17:44,000",Better you are more in love than her.,neutral,neutral,mild,4,22,0
"01:17:46,000","01:17:49,000",You have realized that you want her more than you think,surprise,realization,strong,6,25,2
"01:17:49,000","01:17:53,000",And you can't lose her and start your life without her.,fear,fear,strong,2,15,2
"01:17:53,000","01:17:55,000",I have lifted crap.,anger,annoyance,moderate,0,3,1
"01:17:55,000","01:17:59,000",I have realized that Mariona is above,surprise,realization,moderate,6,25,1
"01:17:59,000","01:18:02,000",of all kisses or everything you can do,surprise,realization,moderate,6,25,1
"01:18:02,000","01:18:05,000",And I would not like Mariona to not understand it.,fear,fear,moderate,2,15,1
"01:18:05,000","01:18:07,000",Hello.,neutral,neutral,mild,4,22,0
"01:18:11,000","01:18:13,000","Good morning, dear jazz.",neutral,neutral,mild,4,22,0
"01:18:13,000","01:18:15,000",How are you?,neutral,neutral,mild,4,22,0
"01:18:17,000","01:18:18,000",Are you OK?,neutral,neutral,mild,4,22,0
"01:18:18,000","01:18:19,000",Yeah.,neutral,neutral,mild,4,22,0
"01:18:22,000","01:18:24,000",Can I make you coffee?,happiness,caring,mild,3,6,0
"01:18:24,000","01:18:26,000","No, I'm going to do it.",neutral,neutral,mild,4,22,0
"01:18:29,000","01:18:31,000","Yes, that's fine, it's very good.",happiness,approval,mild,3,4,0
"01:18:31,000","01:18:34,000",I got up calmly with Julen next to.,neutral,neutral,mild,4,22,0
"01:18:34,000","01:18:38,000","I do not feel bad, I am not thinking at this time in Adri.",neutral,neutral,mild,4,22,0
"01:18:38,000","01:18:42,000","In the end I have been myself, he has wanted me and that is what matters.",happiness,pride,mild,3,24,0
"01:18:43,000","01:18:46,000",And I woke up with a red sunrise,neutral,neutral,mild,4,22,0
"01:18:46,000","01:18:49,000",That dyes the sun and feel bread and drops,neutral,neutral,mild,4,22,0
"01:18:49,000","01:18:53,000",I just want to shout,anger,annoyance,moderate,0,3,1
"01:18:56,000","01:18:59,000","Do not say anything, run and open pa 'me",fear,fear,moderate,2,15,1
"01:18:59,000","01:19:01,000",That this pain goes fast,happiness,desire,moderate,3,9,1
"01:19:01,000","01:19:03,000",What is this shirt?,happiness,curiosity,mild,3,8,0
"01:19:03,000","01:19:05,000",I've been smelling her all night.,neutral,neutral,mild,4,22,0
"01:19:05,000","01:19:07,000",We are facing in the room,neutral,neutral,mild,4,22,0
"01:19:07,000","01:19:09,000","Raise, get up.",neutral,neutral,mild,4,22,0
"01:19:10,000","01:19:12,000",Are you going to wash?,neutral,neutral,mild,4,22,0
"01:19:12,000","01:19:13,000",What do not see you?,surprise,confusion,mild,6,7,0
"01:19:13,000","01:19:14,000",¿Ah?,surprise,confusion,mild,6,7,0
"01:19:14,000","01:19:16,000",I have closed eyes.,neutral,neutral,mild,4,22,0
"01:19:18,000","01:19:21,000","This thing you are doing is a super intimate part, do you know?",happiness,curiosity,mild,3,8,0
"01:19:21,000","01:19:23,000",I prefer this than everything else.,neutral,neutral,mild,4,22,0
"01:19:23,000","01:19:25,000",Right now you don't dare to put on cream.,fear,nervousness,mild,2,21,0
"01:19:25,000","01:19:28,000","Wake up, fix you, do this, do you know?",neutral,neutral,mild,4,22,0
"01:19:31,000","01:19:33,000",And this too.,neutral,neutral,mild,4,22,0
"01:19:34,000","01:19:36,000",Napoli has come to wake up.,neutral,neutral,mild,4,22,0
"01:19:36,000","01:19:38,000",He already told me he was going to do it.,neutral,neutral,mild,4,22,0
"01:19:38,000","01:19:40,000",In the end we started the day together.,neutral,neutral,mild,4,22,0
"01:19:40,000","01:19:42,000",We started the day speaking.,neutral,neutral,mild,4,22,0
"01:19:42,000","01:19:44,000",So I wake up well.,neutral,neutral,mild,4,22,0
"01:20:00,000","01:20:02,000",I didn't think I was going to miss Ana.,surprise,surprise,mild,6,29,0
"01:20:04,000","01:20:05,000",I have less barbaric.,neutral,neutral,mild,4,22,0
"01:20:06,000","01:20:07,000","In the morning, it's not me.",neutral,neutral,mild,4,22,0
"01:20:15,000","01:20:16,000","How are you, Brother?",neutral,neutral,mild,4,22,0
"01:20:16,000","01:20:17,000",Rayao.,surprise,confusion,mild,6,7,0
"01:20:18,000","01:20:19,000",¿Ves?,neutral,neutral,mild,4,22,0
"01:20:19,000","01:20:20,000",Rayao.,surprise,confusion,mild,6,7,0
"01:20:21,000","01:20:22,000",Thoughtful.,neutral,neutral,mild,4,22,0
"01:20:22,000","01:20:23,000",Have you slept well?,neutral,neutral,mild,4,22,0
"01:20:23,000","01:20:25,000","That goes, I woke up having nightmares.",fear,fear,moderate,2,15,1
"01:20:25,000","01:20:28,000",You will have the opportunity to talk to her and that's it.,neutral,neutral,mild,4,22,0
"01:20:28,000","01:20:30,000",And it will give you the explanations you have to give.,neutral,neutral,mild,4,22,0
"01:20:30,000","01:20:33,000",What she is doing is spending as mature.,disgust,disapproval,mild,1,11,0
"01:20:33,000","01:20:34,000","But he is shitting, brother.",disgust,disapproval,moderate,1,11,1
"01:20:34,000","01:20:35,000","You will have your reason, bro.",neutral,neutral,mild,4,22,0
"01:20:35,000","01:20:37,000","You will not see what to tell you, I believe.",neutral,neutral,mild,4,22,0
"01:20:37,000","01:20:38,000",What will tell you?,happiness,curiosity,mild,3,8,0
"01:20:40,000","01:20:41,000",And not?,surprise,confusion,mild,6,7,0
"01:20:41,000","01:20:43,000",You already have to know that the Maduro is you.,surprise,realization,mild,6,25,0
"01:20:43,000","01:20:44,000",Because she is given the flapa.,surprise,confusion,mild,6,7,0
"01:20:44,000","01:20:46,000","That is, you go and explain it.",neutral,neutral,mild,4,22,0
"01:20:46,000","01:20:49,000","Because this is telling me if I love you, you have respected yourself,",surprise,confusion,mild,6,7,0
"01:20:49,000","01:20:51,000","And he is telling you this, he has no kind, you know?",disgust,disapproval,mild,1,11,0
"01:20:53,000","01:20:54,000",Yeah.,neutral,neutral,mild,4,22,0
"01:20:54,000","01:20:56,000",Today I wake up a little thoughtful.,neutral,neutral,mild,4,22,0
"01:20:56,000","01:20:58,000","After what I found in the bonfire,",surprise,confusion,moderate,6,7,1
"01:20:59,000","01:21:00,000",I am a little lost.,surprise,confusion,moderate,6,7,1
"01:21:00,000","01:21:05,000","If tomorrow we can't talk and that does not change,",sadness,sadness,mild,5,28,0
"01:21:05,000","01:21:07,000",I can't afford to be with a person,sadness,disappointment,moderate,5,10,1
"01:21:07,000","01:21:09,000",That he is able to talk about me.,disgust,disapproval,moderate,1,11,1
"01:21:09,000","01:21:11,000",You have an energy that is Bacana,happiness,admiration,mild,3,0,0
"01:21:11,000","01:21:14,000",You put on Saturday to my week,happiness,admiration,mild,3,0,0
"01:21:14,000","01:21:15,000",You don't have friends,disgust,disapproval,mild,1,11,0
"01:21:16,000","01:21:17,000",Don't we sit here?,neutral,neutral,mild,4,22,0
"01:21:17,000","01:21:19,000","I'm sorry, I don't want to get in the water yet.",fear,nervousness,mild,2,21,0
"01:21:19,000","01:21:20,000",¡Uy!,surprise,surprise,mild,6,29,0
"01:21:20,000","01:21:22,000",It will not cost me a little more.,neutral,neutral,mild,4,22,0
"01:21:23,000","01:21:24,000",Are you going to be here?,happiness,curiosity,mild,3,8,0
"01:21:24,000","01:21:25,000",The day.,neutral,neutral,mild,4,22,0
"01:21:25,000","01:21:26,000",Yeah?,neutral,neutral,mild,4,22,0
"01:21:26,000","01:21:27,000",Yeah.,neutral,neutral,mild,4,22,0
"01:21:28,000","01:21:29,000","I don't know, I got the ...",surprise,confusion,mild,6,7,0
"01:21:29,000","01:21:32,000","I mean, I got the intuition that he wants to kiss her",happiness,curiosity,moderate,3,8,1
"01:21:32,000","01:21:34,000",And he doesn't kiss her for ...,happiness,curiosity,moderate,3,8,1
"01:21:37,000","01:21:39,000","That is, there are still many days, maybe he kisses her.",happiness,optimism,mild,3,23,0
"01:21:39,000","01:21:40,000",Do you love you?,happiness,curiosity,moderate,3,8,1
"01:21:42,000","01:21:43,000","If you love me, I don't know that.",surprise,confusion,moderate,6,7,1
"01:21:43,000","01:21:45,000",Do you think you've really loved yourself?,happiness,curiosity,moderate,3,8,1
"01:21:47,000","01:21:48,000",Once yes.,surprise,realization,mild,6,25,0
"01:21:48,000","01:21:49,000",Peter.,neutral,neutral,mild,4,22,0
"01:21:49,000","01:21:50,000",What happened to that?,happiness,curiosity,moderate,3,8,1
"01:21:50,000","01:21:52,000","I don't know, in the end, when do you have to be loved?",surprise,confusion,moderate,6,7,1
"01:21:52,000","01:21:55,000","That is, when you have relationships, what you do is compare.",surprise,realization,mild,6,25,0
"01:21:55,000","01:21:57,000",And I compare and say ...,surprise,realization,mild,6,25,0
"01:21:59,000","01:22:00,000",There and not here.,sadness,disappointment,moderate,5,10,1
"01:22:02,000","01:22:03,000",Yeah.,neutral,neutral,mild,4,22,0
"01:22:03,000","01:22:05,000","Yes, but it is strong to say that ...",fear,nervousness,moderate,2,21,1
"01:22:05,000","01:22:07,000",I ask you if they really loved you,happiness,curiosity,moderate,3,8,1
"01:22:07,000","01:22:09,000",And tell me that once.,surprise,realization,mild,6,25,0
"01:22:09,000","01:22:11,000","Because here you are realizing that no, maybe.",surprise,realization,moderate,6,25,1
"01:22:12,000","01:22:15,000",Has he wanted me well out of here?,happiness,curiosity,moderate,3,8,1
"01:22:16,000","01:22:18,000","Yes, but then I think, yes,",surprise,confusion,mild,6,7,0
"01:22:18,000","01:22:20,000","But a person who loves you well,",surprise,confusion,mild,6,7,0
"01:22:20,000","01:22:22,000","Do what he has done, I don't know.",sadness,disappointment,moderate,5,10,1
"01:22:23,000","01:22:24,000",Your eyes see disappointment.,sadness,disappointment,strong,5,10,2
"01:22:25,000","01:22:26,000",A lot of disappointment all the time.,sadness,disappointment,strong,5,10,2
"01:22:26,000","01:22:29,000",What face will I get home to my mother?,fear,nervousness,moderate,2,21,1
"01:22:29,000","01:22:32,000","The person she saw that she looked at me like nobody,",sadness,sadness,moderate,5,28,1
"01:22:32,000","01:22:35,000","is looking at another and, apart, considering continuing without me",sadness,sadness,strong,5,28,2
"01:22:35,000","01:22:38,000","And, apart, playing the Hielito, which was unthinkable.",disgust,disapproval,moderate,1,11,1
"01:22:41,000","01:22:43,000",Because he wants to kiss him and he doesn't give it to him because ...,happiness,curiosity,moderate,3,8,1
"01:22:43,000","01:22:46,000","Well, I don't know why, but I feel it wants to give it to him.",happiness,curiosity,moderate,3,8,1
"01:22:46,000","01:22:47,000",And I want him to tell him.,happiness,desire,moderate,3,9,1
"01:22:47,000","01:22:49,000",But I feel he wants to give it to him.,happiness,curiosity,mild,3,8,0
"01:22:49,000","01:22:52,000",And I think that's the worst thing you can see in some images.,disgust,disapproval,moderate,1,11,1
"01:22:52,000","01:22:54,000",A boyfriend who contains a boyfriend who does it.,surprise,confusion,moderate,6,7,1
"01:22:57,000","01:23:00,000","Well, tell us how your first night has been sleeping.",happiness,curiosity,mild,3,8,0
"01:23:00,000","01:23:02,000",Have there been pillows in between? Yeah.,happiness,amusement,mild,3,1,0
"01:23:02,000","01:23:06,000",But have you thrown the piernecilla on top or not?,happiness,curiosity,mild,3,8,0
"01:23:06,000","01:23:07,000",He wanted to hug me and I didn't leave him.,anger,annoyance,mild,0,3,0
"01:23:08,000","01:23:09,000","No, lie, in the end ...",neutral,neutral,mild,4,22,0
"01:23:09,000","01:23:11,000",In the end it has hugged you. Something like that.,neutral,neutral,mild,4,22,0
"01:23:11,000","01:23:15,000","And he took and threw it and put it, and I threw it and put it.",happiness,amusement,mild,3,1,0
"01:23:15,000","01:23:17,000","I left it far, approached it.",neutral,neutral,mild,4,22,0
"01:23:20,000","01:23:22,000",Do not shut up at my best.,anger,annoyance,mild,0,3,0
"01:23:24,000","01:23:26,000","I believe it, I see it in your gaze.",happiness,approval,mild,3,4,0
"01:23:26,000","01:23:30,000","And in the end, if I didn't trust, it would not make sense.",surprise,realization,moderate,6,25,1
"01:23:30,000","01:23:32,000",When I kissed you,happiness,excitement,moderate,3,14,1
"01:23:34,000","01:23:37,000",I felt that the sky touches,happiness,joy,strong,3,18,2
"01:23:37,000","01:23:38,000",Wow!,surprise,surprise,mild,6,29,0
"01:23:38,000","01:23:39,000",¡Ah!,surprise,surprise,mild,6,29,0
"01:23:39,000","01:23:41,000","And I don't know what to tell you, no ...",surprise,confusion,moderate,6,7,1
"01:23:41,000","01:23:43,000","Well, I wanted to talk to you about ...",fear,nervousness,mild,2,21,0
"01:23:43,000","01:23:45,000",About yesterday's sensations.,happiness,curiosity,mild,3,8,0
"01:23:45,000","01:23:46,000",You already know that ...,neutral,neutral,mild,4,22,0
"01:23:46,000","01:23:49,000",We were avoiding the faces all the time,fear,nervousness,moderate,2,21,1
"01:23:49,000","01:23:50,000",Because I could happen.,fear,fear,mild,2,15,0
"01:23:50,000","01:23:51,000",Passed.,happiness,relief,mild,3,26,0
"01:23:51,000","01:23:57,000","And if I'm sincere, I liked it,",happiness,approval,mild,3,4,0
"01:23:57,000","01:24:01,000",But I thought about Mariona too.,surprise,realization,mild,6,25,0
"01:24:01,000","01:24:03,000",I understand you.,neutral,neutral,mild,4,22,0
"01:24:03,000","01:24:09,000","Yes, it is true that I do not regret yesterday.",happiness,relief,moderate,3,26,1
"01:24:09,000","01:24:11,000",I'm just sad.,sadness,sadness,moderate,5,28,1
"01:24:11,000","01:24:14,000","Yes, but I don't want you to be with me either, you know?",sadness,disappointment,moderate,5,10,1
"01:24:14,000","01:24:16,000","I will not be different with you,",neutral,neutral,mild,4,22,0
"01:24:16,000","01:24:17,000",I want to keep knowing you.,happiness,curiosity,moderate,3,8,1
"01:24:17,000","01:24:20,000",A superspecial link from here can come out,happiness,optimism,moderate,3,23,1
"01:24:20,000","01:24:23,000","And who knows, that is, what I want for now",happiness,curiosity,mild,3,8,0
"01:24:23,000","01:24:27,000","It is the peace you were giving me,",happiness,gratitude,moderate,3,16,1
"01:24:29,000","01:24:31,000","You are a wonderful person, you know?",happiness,admiration,moderate,3,0,1
"01:24:31,000","01:24:36,000","And I don't be wrong, no, no, no, no, no, no, no, no, no, no, no, no,",happiness,optimism,strong,3,23,2
"01:24:36,000","01:24:39,000",Because I would do it again.,happiness,optimism,moderate,3,23,1
"01:24:39,000","01:24:41,000",I would like Mariona to understand,happiness,desire,mild,3,9,0
"01:24:41,000","01:24:43,000",that I have come to dent in a very real way,surprise,realization,moderate,6,25,1
"01:24:44,000","01:24:47,000",And I have stopped carrying out what Monica transmitted to me,surprise,realization,moderate,6,25,1
"01:24:47,000","01:24:48,000","And I have passed the limit,",sadness,remorse,moderate,5,27,1
"01:24:48,000","01:24:52,000",But I'm still thinking that Mariona is above.,neutral,neutral,mild,4,22,0
"01:24:54,000","01:24:55,000","Well, here is certain science",neutral,neutral,mild,4,22,0
"01:24:55,000","01:24:58,000","That in plan that your girlfriend is not going to fall, right?",happiness,curiosity,mild,3,8,0
"01:24:58,000","01:24:59,000","You have that thorn, right?",happiness,curiosity,mild,3,8,0
"01:24:59,000","01:25:01,000","The doubt is always. I, of course, I am an 80.",surprise,confusion,moderate,6,7,1
"01:25:02,000","01:25:03,000",0.1%. 80?,surprise,confusion,mild,6,7,0
"01:25:03,000","01:25:05,000",80% that does not fall.,neutral,neutral,mild,4,22,0
"01:25:05,000","01:25:07,000",And 20% of them.,neutral,neutral,mild,4,22,0
"01:25:08,000","01:25:09,000",Or the same until less.,neutral,neutral,mild,4,22,0
"01:25:09,000","01:25:10,000",I ...,neutral,neutral,mild,4,22,0
"01:25:10,000","01:25:12,000","I still give the flapa, I 95.",happiness,pride,mild,3,24,0
"01:25:12,000","01:25:14,000","No, a 90-10 I'm really.",happiness,pride,mild,3,24,0
"01:25:14,000","01:25:17,000",And you don't see that there is a connection between Anapolis and your girlfriend?,happiness,curiosity,moderate,3,8,1
"01:25:17,000","01:25:19,000","Yes there is. Yes, there is.",surprise,realization,moderate,6,25,1
"01:25:20,000","01:25:23,000","Well, I don't know if connection, there is a nonsense that gets.",surprise,confusion,moderate,6,7,1
"01:25:23,000","01:25:27,000","I had my doubts, but right now I know how your girlfriend is.",surprise,realization,moderate,6,25,1
"01:25:27,000","01:25:28,000","He lets himself be loved, brother.",happiness,approval,mild,3,4,0
"01:25:28,000","01:25:30,000",He puts him. I know how your girlfriend is.,surprise,realization,mild,6,25,0
"01:25:30,000","01:25:32,000",It makes the ... lets you love.,happiness,approval,mild,3,4,0
"01:25:32,000","01:25:35,000",And also perfectly knows who Anapolis is.,surprise,realization,mild,6,25,0
"01:25:35,000","01:25:39,000","Ah, the same, to speak, I do it, I do pum, kiss, but ...",happiness,amusement,mild,3,1,0
"01:25:40,000","01:25:41,000",No no.,disgust,disapproval,mild,1,11,0
"01:25:41,000","01:25:42,000",You let it love.,happiness,approval,mild,3,4,0
"01:25:42,000","01:25:45,000","Anapolis was waiting for me, I see a character,",happiness,curiosity,mild,3,8,0
"01:25:45,000","01:25:47,000",But I trust my relationship,happiness,optimism,moderate,3,23,1
"01:25:47,000","01:25:49,000",And I think we are going to go together here.,happiness,optimism,moderate,3,23,1
"01:25:50,000","01:25:52,000",Music production,neutral,neutral,mild,4,22,0
"01:26:01,000","01:26:02,000",Although you will not lose.,happiness,optimism,mild,3,23,0
"01:26:03,000","01:26:04,000",You can give as piste.,neutral,neutral,mild,4,22,0
"01:26:06,000","01:26:08,000",Videohistaory,neutral,neutral,mild,4,22,0
"01:26:08,000","01:26:16,000",Count,neutral,neutral,mild,4,22,0
"01:26:17,000","01:26:18,000",Count,neutral,neutral,mild,4,22,0
"01:26:18,000","01:26:20,000",Count,neutral,neutral,mild,4,22,0
"01:26:20,000","01:26:22,000","How beautiful, yes, how beautiful!",happiness,admiration,moderate,3,0,1
"01:26:23,000","01:26:23,000",Count,neutral,neutral,mild,4,22,0
"01:26:23,000","01:26:25,000",¡Ah!,surprise,surprise,mild,6,29,0
"01:26:25,000","01:26:26,000",Count,neutral,neutral,mild,4,22,0
"01:26:26,000","01:26:27,000",How handsome!,happiness,admiration,moderate,3,0,1
"01:26:27,000","01:26:28,000",Count,neutral,neutral,mild,4,22,0
"01:26:28,000","01:26:29,000",Count,neutral,neutral,mild,4,22,0
"01:26:29,000","01:26:30,000",Count,neutral,neutral,mild,4,22,0
"01:26:30,000","01:26:31,000",Count,neutral,neutral,mild,4,22,0
"01:26:31,000","01:26:32,000",Count,neutral,neutral,mild,4,22,0
"01:26:32,000","01:26:34,000","Well, Pancho!",happiness,approval,mild,3,4,0
"01:26:34,000","01:26:35,000",Count,neutral,neutral,mild,4,22,0
"01:26:35,000","01:26:36,000",Count,neutral,neutral,mild,4,22,0
"01:26:36,000","01:26:37,000",Count,neutral,neutral,mild,4,22,0
"01:26:37,000","01:26:38,000",Count,neutral,neutral,mild,4,22,0
"01:26:38,000","01:26:38,000",Very good!,happiness,approval,moderate,3,4,1
"01:26:39,000","01:26:40,000",A romanticism will come out!,happiness,excitement,moderate,3,14,1
"01:26:41,000","01:26:41,000",Count,neutral,neutral,mild,4,22,0
"01:26:41,000","01:26:42,000",Count,neutral,neutral,mild,4,22,0
"01:26:42,000","01:26:43,000",Count,neutral,neutral,mild,4,22,0
"01:26:43,000","01:26:44,000",Count,neutral,neutral,mild,4,22,0
"01:26:44,000","01:26:45,000",Count,neutral,neutral,mild,4,22,0
"01:26:45,000","01:26:46,000",Count,neutral,neutral,mild,4,22,0
"01:26:46,000","01:26:47,000",Count,neutral,neutral,mild,4,22,0
"01:26:47,000","01:26:48,000","Give me, give me, give me one!",happiness,desire,strong,3,9,2
"01:26:48,000","01:26:49,000",Count,neutral,neutral,mild,4,22,0
"01:26:49,000","01:26:50,000",Count,neutral,neutral,mild,4,22,0
"01:26:50,000","01:26:50,000",Count,neutral,neutral,mild,4,22,0
"01:26:51,000","01:26:51,000",Count,neutral,neutral,mild,4,22,0
"01:26:51,000","01:26:52,000",Count,neutral,neutral,mild,4,22,0
"01:26:52,000","01:26:53,000",Count,neutral,neutral,mild,4,22,0
"01:26:53,000","01:26:53,000",Count,neutral,neutral,mild,4,22,0
"01:26:54,000","01:26:55,000","Chiquiperejón, do this, huh!",anger,annoyance,mild,0,3,0
"01:26:55,000","01:26:56,000",Count,neutral,neutral,mild,4,22,0
"01:26:57,000","01:26:58,000","Also the most beautiful couple, huh!",happiness,admiration,mild,3,0,0
"01:26:58,000","01:26:59,000",Count,neutral,neutral,mild,4,22,0
"01:26:59,000","01:27:00,000",And ours or not?,happiness,curiosity,mild,3,8,0
"01:27:00,000","01:27:01,000",Count,neutral,neutral,mild,4,22,0
"01:27:01,000","01:27:03,000","She is fighting loudly, huh.",anger,annoyance,moderate,0,3,1
"01:27:03,000","01:27:04,000",Waste!,disgust,disapproval,moderate,1,11,1
"01:27:04,000","01:27:05,000",It cannot resist.,sadness,disappointment,mild,5,10,0
"01:27:05,000","01:27:06,000","Look, look, look, look!",happiness,excitement,moderate,3,14,1
"01:27:07,000","01:27:07,000",Count,neutral,neutral,mild,4,22,0
"01:27:07,000","01:27:09,000","That is difficult, uncle.",neutral,neutral,mild,4,22,0
"01:27:09,000","01:27:10,000","You have to analyze if you can't, huh.",surprise,confusion,mild,6,7,0
"01:27:10,000","01:27:11,000",Count,neutral,neutral,mild,4,22,0
"01:27:11,000","01:27:12,000","Look, look, look, look!",happiness,excitement,moderate,3,14,1
"01:27:13,000","01:27:13,000",Count,neutral,neutral,mild,4,22,0
"01:27:13,000","01:27:14,000",Count,neutral,neutral,mild,4,22,0
"01:27:14,000","01:27:15,000",Count,neutral,neutral,mild,4,22,0
